flask,Lake,strain,combo_temp,combo,genotype,Trophic,temp,Crash_Numeric,Crash,Phase,Growth,NeverPositive,Growth_Z,Keep,Growth_Z_by_timepoint,NegativePositiveGrowth
1,AR19,AR19-01,HNLG_20,HNLG,LG,HN,20,4,4,Exp,0.2969,n,-0.6589,y,-0.658777936,positive
1,AR19,AR19-01,HNLG_20,HNLG,LG,HN,20,4,4,wk2,0.4165,n,0.7504,y,0.75041142,positive
1,AR19,AR19-01,HNLG_20,HNLG,LG,HN,20,4,4,wk3,0.1995,n,1.3505,y,1.350498533,positive
1,AR19,AR19-01,HNLG_20,HNLG,LG,HN,20,4,4,wk4,-0.1271,n,-0.6555,y,-0.655546245,negative
2,BU19,BU19-01,LNLG_20,LNLG,LG,LN,20,5,none,Exp,0.1338,n,0.5789,y,0.578826619,positive
2,BU19,BU19-01,LNLG_20,LNLG,LG,LN,20,5,none,wk2,0.1092,n,0.3025,y,0.27411842,positive
2,BU19,BU19-01,LNLG_20,LNLG,LG,LN,20,5,none,wk3,0.2005,n,1.3284,y,1.314046846,positive
2,BU19,BU19-01,LNLG_20,LNLG,LG,LN,20,5,none,wk4,0.0661,n,-0.1828,y,0.713447806,positive
3,BU19,BU19-02,LNLG_20,LNLG,LG,LN,20,5,none,Exp,0.2423,n,-0.1959,y,-0.195980526,positive
3,BU19,BU19-02,LNLG_20,LNLG,LG,LN,20,5,none,wk2,0.5094,n,0.575,y,0.412542607,positive
3,BU19,BU19-02,LNLG_20,LNLG,LG,LN,20,5,none,wk3,0.1713,n,-0.4009,y,0.604531115,positive
3,BU19,BU19-02,LNLG_20,LNLG,LG,LN,20,5,none,wk4,0.1181,n,-0.5545,y,0.645949123,positive
4,BU19,BU19-04,LNLG_20,LNLG,LG,LN,20,2,2,Exp,0.2022,n,0.432,y,0.431918437,positive
4,BU19,BU19-04,LNLG_20,LNLG,LG,LN,20,2,2,wk2,-0.1655,n,-11.5772,y,-0.244546976,negative
4,BU19,BU19-04,LNLG_20,LNLG,LG,LN,20,2,2,wk3,0.5016,n,10.211,y,0.467579717,positive
4,BU19,BU19-04,LNLG_20,LNLG,LG,LN,20,2,2,wk4,-0.5526,n,-24.2173,y,-1.48891292,negative
5,CH19,CH19-02,HNLG_20,HNLG,LG,HN,20,5,none,Exp,0.2136,n,-0.3116,y,-0.311639125,positive
5,CH19,CH19-02,HNLG_20,HNLG,LG,HN,20,5,none,wk2,0.1155,n,-0.8029,y,-0.866800608,positive
5,CH19,CH19-02,HNLG_20,HNLG,LG,HN,20,5,none,wk3,0.2501,n,-0.1287,y,1.057088529,positive
5,CH19,CH19-02,HNLG_20,HNLG,LG,HN,20,5,none,wk4,0.2455,n,-0.1518,y,1.216863839,positive
6,CR19,CR19-01,LNHG_20,LNHG,HG,LN,20,2,2,Exp,0.1061,n,-1.1095,n,-1.10920841,positive
6,CR19,CR19-01,LNHG_20,LNHG,HG,LN,20,2,2,wk2,-0.1424,n,-6.1303,n,-1.32900065,negative
6,CR19,CR19-01,LNHG_20,LNHG,HG,LN,20,2,2,wk3,0.205,n,0.8885,n,-0.070157913,positive
6,CR19,CR19-01,LNHG_20,LNHG,HG,LN,20,2,2,wk4,0.1785,n,0.3525,n,0.592931392,positive
7,CR19,CR19-05,LNLG_20,LNLG,LG,LN,20,2,2,Exp,0.1706,n,-1.3543,y,-1.354909999,positive
7,CR19,CR19-05,LNLG_20,LNLG,LG,LN,20,2,2,wk2,-0.1155,n,-9.2302,y,-1.480453897,negative
7,CR19,CR19-05,LNLG_20,LNLG,LG,LN,20,2,2,wk3,0.3345,n,3.1567,y,1.165236468,positive
