flask,lake,strain,combo_temp,quality,combo,genotype,Trophic,temp,Crash_Numeric,Crash,ExpPhase,,,ExpPhase_Z,wk2,,,wk2_Z,wk3,,,wk3_Z,wk4,,,wk4_Z
1,AR,AR19-01,HNLG_20,good,HNLG,LG,HN,20,4,4,0.2969,0.4219,mean,-0.6589,0.4165,0.2758,mean,0.7504,0.1995,0.0129,mean,1.3505,-0.1271,0.1286,mean,-0.6555
2,BU,BU19-01,LNLG_20,good,LNLG,LG,LN,20,5,none,0.1338,0.082325,mean,0.5789,0.1092,0.0489,mean,0.3025,0.2005,0.0851,mean,1.3284,0.0661,0.0127,mean,-0.1828
3,BU,BU19-02,LNLG_20,good,LNLG,LG,LN,20,5,none,0.2423,0.111125,mean,1.400433,0.5094,0.351625,mean,0.575,0.1713,-0.06823,mean,-0.4009,0.1181,0.035375,mean,-0.5545
4,BU,BU19-04,LNLG_20,good,LNLG,LG,LN,20,2,2,0.2022,0.189,mean,0.432,-0.1655,-0.0693,mean,-11.5772,0.5016,0.3418,mean,10.211,-0.5526,-0.1635,mean,-24.2173
5,CH,CH19-02,HNLG_20,good,HNLG,LG,HN,20,5,none,0.2136,0.2758,mean,-0.3116,0.1155,0.2849,mean,-0.8029,0.2501,0.1239,mean,-0.1287,0.2455,0.0487,mean,-0.1518
6,CR,CR19-01,LNHG_20,Poor,LNLG,LG,LN,20,2,2,0.1061,0.161,mean,-1.1095,-0.1424,0.0926,mean,-6.1303,0.205,0.2104,mean,0.8885,0.1785,0.0481,mean,0.3525
7,CR,CR19-05,LNLG_20,good,LNLG,LG,LN,20,2,2,0.1706,0.2198,mean,-1.3543,-0.1155,0.1781,mean,-9.2302,0.3345,0.2366,mean,3.1567,0.1881,-0.0863,mean,-0.8741
8,CR,CR19-06,LNLG_20,good,LNLG,LG,LN,20,5,none,0.0727,0.1563,mean,-1.4842,0.0176,0.0681,mean,-2.4624,0.0481,0.2254,mean,-1.9208,0.15,0.023,mean,-0.1117
9,F,F19-02,HNHG_20,none,HNHG,HG,HN,20,3,3,0.2162,0.2105,mean,0.0435,0.2162,0.2206,mean,0.0435,-0.0025,-0.0012,mean,-1.6158,-0.246,-0.2237,mean,-3.4626
10,FA,FA19-02,HNHG_20,good,HNHG,HG,HN,20,3,3,0.0797,0.2678,mean,-1.1522,0.0797,0.2678,mean,-1.1522,-0.0638,-0.0801,mean,-2.0308,-0.3382,-0.1304,mean,-3.7116
