Strain,Tree_Groups,dataset
BK11-02,pseudo-oligotrophic,old
BS11-05,pseudo-oligotrophic,old
BS13-02,nutrient-rich,old
BS13-10,pseudo-oligotrophic,old
F11-05,nutrient-rich,old
F13-03,nutrient-rich,old
F13-15,nutrient-rich,old
G11-01,oligotrophic,old
G11-04,oligotrophic,old
G11-06,oligotrophic,old
G11-09,oligotrophic,old
G13-01,oligotrophic,old
G13-03,oligotrophic,old
G13-05,oligotrophic,old
G13-07,oligotrophic,old
G13-09,oligotrophic,old
G13-10,oligotrophic,old
G13-11,oligotrophic,old
G13-12,oligotrophic,old
K13-01,nutrient-rich,old
K13-05,nutrient-rich,old
K13-06,nutrient-rich,old
K13-07,pseudo-oligotrophic,old
K13-10,nutrient-rich,old
L111-01,pseudo-oligotrophic,old
L211-07,nutrient-rich,old
L211-101,nutrient-rich,old
L211-11,nutrient-rich,old
L311-01,nutrient-rich,old
LE13-04,oligotrophic,old
LG11-05,nutrient-rich,old
LG13-02,nutrient-rich,old
LG13-03,nutrient-rich,old
LG13-11,nutrient-rich,old
LG13-12,nutrient-rich,old
LG13-13,nutrient-rich,old
LL11-07,oligotrophic,old
LL13-03,oligotrophic,old
LL13-06,oligotrophic,old
S11-01,pseudo-oligotrophic,old
S11-05,pseudo-oligotrophic,old
SX13-01,oligotrophic,old
SX13-11,oligotrophic,old
W11-03,nutrient-rich,old
W11-06,nutrient-rich,old
W13-11,nutrient-rich,old
W13-13,pseudo-oligotrophic,old
W13-15,pseudo-oligotrophic,old
W13-16,pseudo-oligotrophic,old
W13-18,pseudo-oligotrophic,old
Synechococcus,none,none
PCC-9806,none,none
PCC-9807,none,none
PCC-9443,none,none
PCC-7806,none,none
DIANCHI905,none,none
TAIHU98,none,none
PCC-7941,none,none
LE3,none,none
SPC777,none,none
PCC-9808,none,none
PCC-9432,none,none
PCC-7005,none,none
PCC-9701,none,none
T1-4,none,none
NIES-44,none,none
PCC-9717,none,none
NIES-843,none,none
PCC-9809,none,none
LSC13-02,none,none
LE013-01,none,none
CR19-03,oligotrophic,new
SM19-03,pseudo-oligotrophic,new
BU19-01,oligotrophic,new
CR19-05,oligotrophic,new
CR19-06,oligotrophic,new
G19-02,oligotrophic,new
AR19-01,pseudo-oligotrophic,new
WH19-01,pseudo-oligotrophic,new
BU19-04,oligotrophic,new
BU19-02,oligotrophic,new
CH19-02,pseudo-oligotrophic,new
FA19-04,nutrient-rich,new
FA19-06,nutrient-rich,new
FA19-03,nutrient-rich,new
FA19-05,nutrient-rich,new
CR19-02,LN/HG,new
CR19-01,LN/HG,new
FA19-02,nutrient-rich,new
WH19-04,nutrient-rich,new
WH19-02,nutrient-rich,new
WH19-03,nutrient-rich,new
WH19-05,nutrient-rich,new
Synecococcus spp,none,new
SM19-01,nutrient-rich,new
SM19-04,pseudo-oligotrophic,new
